# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 27554, 136.307, 0.201757
hpce.fast_fourier_transform, 8, 8, 32768, 146.986, 0.190348
hpce.fast_fourier_transform, 8, 8, 38967, 43.113, 0.2755
hpce.fast_fourier_transform, 8, 8, 46340, 100.126, 0.27457
hpce.fast_fourier_transform, 8, 8, 55108, 10.0104, 0.407865
hpce.fast_fourier_transform, 8, 8, 65536, 170.593, 0.357568
hpce.fast_fourier_transform, 8, 8, 77935, 210.73, 0.571517
hpce.fast_fourier_transform, 8, 8, 92681, 135.635, 0.590884
hpce.fast_fourier_transform, 8, 8, 110217, 36.6949, 0.76104
hpce.fast_fourier_transform, 8, 8, 131072, 102.951, 0.742
hpce.fast_fourier_transform, 8, 8, 155871, 342.758, 1.18797
hpce.fast_fourier_transform, 8, 8, 185363, 167.773, 1.18745
hpce.fast_fourier_transform, 8, 8, 220435, 194.78, 1.53211
hpce.fast_fourier_transform, 8, 8, 262144, 155.101, 1.58666
hpce.fast_fourier_transform, 8, 8, 311743, 162.756, 2.52489
hpce.fast_fourier_transform, 8, 8, 370727, 71.2571, 2.45533
hpce.fast_fourier_transform, 8, 8, 440871, 168.343, 2.919
hpce.fast_fourier_transform, 8, 8, 524288, 159.571, 2.95999
hpce.fast_fourier_transform, 8, 8, 623487, 537.712, 4.65926
hpce.fast_fourier_transform, 8, 8, 741455, 428.475, 4.95296
hpce.fast_fourier_transform, 8, 8, 881743, 315.415, 6.24541
# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 16, 4.9362, 9.09667e-005
hpce.fast_fourier_transform, 8, 8, 19, 1.60788, 0.00011709
hpce.fast_fourier_transform, 8, 8, 22, 2.40711, 0.000115691
hpce.fast_fourier_transform, 8, 8, 26, 1.26226, 0.000155343
hpce.fast_fourier_transform, 8, 8, 32, 2.81322, 0.00015441
hpce.fast_fourier_transform, 8, 8, 38, 6.15568, 0.000234647
hpce.fast_fourier_transform, 8, 8, 45, 2.95318, 0.000234647
hpce.fast_fourier_transform, 8, 8, 53, 4.7473, 0.000313019
hpce.fast_fourier_transform, 8, 8, 64, 14.1985, 0.000312086
hpce.fast_fourier_transform, 8, 8, 76, 1.65633, 0.00047396
hpce.fast_fourier_transform, 8, 8, 90, 7.4357, 0.00047256
hpce.fast_fourier_transform, 8, 8, 107, 3.58678, 0.000630236
hpce.fast_fourier_transform, 8, 8, 128, 5.53084, 0.000611576
hpce.fast_fourier_transform, 8, 8, 152, 7.99258, 0.000977775
hpce.fast_fourier_transform, 8, 8, 181, 8.10526, 0.000953051
hpce.fast_fourier_transform, 8, 8, 215, 5.97507, 0.00126794
hpce.fast_fourier_transform, 8, 8, 256, 4.86155, 0.00126374
hpce.fast_fourier_transform, 8, 8, 304, 22.3973, 0.00186692
hpce.fast_fourier_transform, 8, 8, 362, 4.18397, 0.00178528
hpce.fast_fourier_transform, 8, 8, 430, 14.4137, 0.00235021
hpce.fast_fourier_transform, 8, 8, 512, 10.1029, 0.00245283
hpce.fast_fourier_transform, 8, 8, 608, 18.3152, 0.00377535
hpce.fast_fourier_transform, 8, 8, 724, 7.20496, 0.00367785
hpce.fast_fourier_transform, 8, 8, 861, 9.97479, 0.00503396
hpce.fast_fourier_transform, 8, 8, 1024, 19.7117, 0.00513519
hpce.fast_fourier_transform, 8, 8, 1217, 40.097, 0.00760248
hpce.fast_fourier_transform, 8, 8, 1448, 22.5895, 0.00744434
hpce.fast_fourier_transform, 8, 8, 1722, 16.3501, 0.0100712
hpce.fast_fourier_transform, 8, 8, 2048, 14.2226, 0.00997974
hpce.fast_fourier_transform, 8, 8, 2435, 34.4931, 0.0158133
hpce.fast_fourier_transform, 8, 8, 2896, 39.5912, 0.0154713
hpce.fast_fourier_transform, 8, 8, 3444, 25.428, 0.0205739
hpce.fast_fourier_transform, 8, 8, 4096, 27.2928, 0.0211593
hpce.fast_fourier_transform, 8, 8, 4870, 26.5156, 0.0317268
hpce.fast_fourier_transform, 8, 8, 5792, 47.4219, 0.0313103
hpce.fast_fourier_transform, 8, 8, 6888, 25.4685, 0.0433445
hpce.fast_fourier_transform, 8, 8, 8192, 74.8637, 0.043128
hpce.fast_fourier_transform, 8, 8, 9741, 55.1308, 0.0627264
hpce.fast_fourier_transform, 8, 8, 11585, 17.8966, 0.0642323
hpce.fast_fourier_transform, 8, 8, 13777, 84.3912, 0.0814856
hpce.fast_fourier_transform, 8, 8, 16384, 77.7499, 0.0811917
hpce.fast_fourier_transform, 8, 8, 19483, 148.231, 0.123937
hpce.fast_fourier_transform, 8, 8, 23170, 152.583, 0.123036
hpce.fast_fourier_transform, 8, 8, 27554, 136.307, 0.164629
hpce.fast_fourier_transform, 8, 8, 32768, 146.986, 0.163761
hpce.fast_fourier_transform, 8, 8, 38967, 43.113, 0.245834
hpce.fast_fourier_transform, 8, 8, 46340, 100.126, 0.249874
hpce.fast_fourier_transform, 8, 8, 55108, 10.0104, 0.327545
