# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 1217, 40.097, 0.00458752
hpce.fast_fourier_transform, 8, 8, 1448, 22.5895, 0.00444197
hpce.fast_fourier_transform, 8, 8, 1722, 16.3501, 0.00549252
hpce.fast_fourier_transform, 8, 8, 2048, 14.2226, 0.0060122
hpce.fast_fourier_transform, 8, 8, 2435, 34.4931, 0.00882377
hpce.fast_fourier_transform, 8, 8, 2896, 39.5912, 0.00970918
hpce.fast_fourier_transform, 8, 8, 3444, 25.428, 0.0128865
hpce.fast_fourier_transform, 8, 8, 4096, 27.2928, 0.0172296
hpce.fast_fourier_transform, 8, 8, 4870, 26.5156, 0.0272718
hpce.fast_fourier_transform, 8, 8, 5792, 47.4219, 0.0228088
hpce.fast_fourier_transform, 8, 8, 6888, 25.4685, 0.0264741
hpce.fast_fourier_transform, 8, 8, 8192, 74.8637, 0.045056
hpce.fast_fourier_transform, 8, 8, 9741, 55.1308, 0.0556044
hpce.fast_fourier_transform, 8, 8, 11585, 17.8966, 0.0539241
hpce.fast_fourier_transform, 8, 8, 13777, 84.3912, 0.0790771
hpce.fast_fourier_transform, 8, 8, 16384, 77.7499, 0.0788844
hpce.fast_fourier_transform, 8, 8, 19483, 148.231, 0.126099
hpce.fast_fourier_transform, 8, 8, 23170, 152.583, 0.126866
hpce.fast_fourier_transform, 8, 8, 27554, 136.307, 0.172866
hpce.fast_fourier_transform, 8, 8, 32768, 146.986, 0.163804
hpce.fast_fourier_transform, 8, 8, 38967, 43.113, 0.258788
hpce.fast_fourier_transform, 8, 8, 46340, 100.126, 0.258404
hpce.fast_fourier_transform, 8, 8, 55108, 10.0104, 0.323537
hpce.fast_fourier_transform, 8, 8, 65536, 170.593, 0.33576
hpce.fast_fourier_transform, 8, 8, 77935, 210.73, 0.502818
hpce.fast_fourier_transform, 8, 8, 92681, 135.635, 0.538739
hpce.fast_fourier_transform, 8, 8, 110217, 36.6949, 0.675543
hpce.fast_fourier_transform, 8, 8, 131072, 102.951, 0.681909
hpce.fast_fourier_transform, 8, 8, 155871, 342.758, 1.03573
hpce.fast_fourier_transform, 8, 8, 185363, 167.773, 1.09917
hpce.fast_fourier_transform, 8, 8, 220435, 194.78, 1.37953
hpce.fast_fourier_transform, 8, 8, 262144, 155.101, 1.34443
hpce.fast_fourier_transform, 8, 8, 311743, 162.756, 2.11997
hpce.fast_fourier_transform, 8, 8, 370727, 71.2571, 2.03581
hpce.fast_fourier_transform, 8, 8, 440871, 168.343, 2.65854
hpce.fast_fourier_transform, 8, 8, 524288, 159.571, 2.58864
hpce.fast_fourier_transform, 8, 8, 623487, 537.712, 4.21108
hpce.fast_fourier_transform, 8, 8, 741455, 428.475, 4.36369
hpce.fast_fourier_transform, 8, 8, 881743, 315.415, 5.77777
# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 16, 4.9362, 0.000160941
hpce.fast_fourier_transform, 8, 8, 19, 1.60788, 5.03815e-005
hpce.fast_fourier_transform, 8, 8, 22, 2.40711, 0.000112892
hpce.fast_fourier_transform, 8, 8, 26, 1.26226, 9.46986e-005
hpce.fast_fourier_transform, 8, 8, 32, 2.81322, 5.59795e-005
hpce.fast_fourier_transform, 8, 8, 38, 6.15568, 0.000105895
hpce.fast_fourier_transform, 8, 8, 45, 2.95318, 0.000104029
hpce.fast_fourier_transform, 8, 8, 53, 4.7473, 0.000140415
hpce.fast_fourier_transform, 8, 8, 64, 14.1985, 0.000118023
hpce.fast_fourier_transform, 8, 8, 76, 1.65633, 0.000215988
hpce.fast_fourier_transform, 8, 8, 90, 7.4357, 0.000221119
hpce.fast_fourier_transform, 8, 8, 107, 3.58678, 0.000252841
hpce.fast_fourier_transform, 8, 8, 128, 5.53084, 0.000315818
hpce.fast_fourier_transform, 8, 8, 152, 7.99258, 0.000406784
hpce.fast_fourier_transform, 8, 8, 181, 8.10526, 0.000756656
hpce.fast_fourier_transform, 8, 8, 215, 5.97507, 0.000883077
hpce.fast_fourier_transform, 8, 8, 256, 4.86155, 0.000512679
hpce.fast_fourier_transform, 8, 8, 304, 22.3973, 0.000887275
hpce.fast_fourier_transform, 8, 8, 362, 4.18397, 0.000891007
hpce.fast_fourier_transform, 8, 8, 430, 14.4137, 0.00105148
hpce.fast_fourier_transform, 8, 8, 512, 10.1029, 0.00108367
hpce.fast_fourier_transform, 8, 8, 608, 18.3152, 0.00171577
hpce.fast_fourier_transform, 8, 8, 724, 7.20496, 0.00180254
hpce.fast_fourier_transform, 8, 8, 861, 9.97479, 0.00216314
hpce.fast_fourier_transform, 8, 8, 1024, 19.7117, 0.00209737
hpce.fast_fourier_transform, 8, 8, 1217, 40.097, 0.0034642
hpce.fast_fourier_transform, 8, 8, 1448, 22.5895, 0.00372404
hpce.fast_fourier_transform, 8, 8, 1722, 16.3501, 0.00506335
hpce.fast_fourier_transform, 8, 8, 2048, 14.2226, 0.00443498
hpce.fast_fourier_transform, 8, 8, 2435, 34.4931, 0.00765193
hpce.fast_fourier_transform, 8, 8, 2896, 39.5912, 0.00801533
hpce.fast_fourier_transform, 8, 8, 3444, 25.428, 0.0100908
hpce.fast_fourier_transform, 8, 8, 4096, 27.2928, 0.0156034
hpce.fast_fourier_transform, 8, 8, 4870, 26.5156, 0.0196922
hpce.fast_fourier_transform, 8, 8, 5792, 47.4219, 0.0198195
hpce.fast_fourier_transform, 8, 8, 6888, 25.4685, 0.0274328
hpce.fast_fourier_transform, 8, 8, 8192, 74.8637, 0.0255948
hpce.fast_fourier_transform, 8, 8, 9741, 55.1308, 0.0348398
hpce.fast_fourier_transform, 8, 8, 11585, 17.8966, 0.0381682
hpce.fast_fourier_transform, 8, 8, 13777, 84.3912, 0.0446824
hpce.fast_fourier_transform, 8, 8, 16384, 77.7499, 0.0520889
hpce.fast_fourier_transform, 8, 8, 19483, 148.231, 0.10336
hpce.fast_fourier_transform, 8, 8, 23170, 152.583, 0.109566
hpce.fast_fourier_transform, 8, 8, 27554, 136.307, 0.131452
hpce.fast_fourier_transform, 8, 8, 32768, 146.986, 0.130402
hpce.fast_fourier_transform, 8, 8, 38967, 43.113, 0.219289
hpce.fast_fourier_transform, 8, 8, 46340, 100.126, 0.226519
hpce.fast_fourier_transform, 8, 8, 55108, 10.0104, 0.274654
hpce.fast_fourier_transform, 8, 8, 65536, 170.593, 0.275943
hpce.fast_fourier_transform, 8, 8, 77935, 210.73, 0.442736
